FIPS_O,FIPS_D,Week,Pop_flows
48,1,13,189741.0
49,1,13,12743.0
50,1,13,1393.0
51,1,13,84999.0
53,1,13,16050.0
54,1,13,11117.0
55,1,13,370831.0
56,1,13,5090.0
2,1,14,9749.0
4,1,14,16823.0
5,1,14,62974.0
6,1,14,93539.0
8,1,14,59023.0
9,1,14,6068.0
10,1,14,2930.0
11,1,14,6597.0
12,1,14,781036.0
13,1,14,1859492.0
15,1,14,3265.0
16,1,14,3993.0
17,1,14,118382.0
18,1,14,209468.0
19,1,14,16392.0
20,1,14,22621.0
21,1,14,354955.0
22,1,14,425921.0
23,1,14,2273.0
24,1,14,28768.0
25,1,14,9077.0
26,1,14,404487.0
27,1,14,23660.0
28,1,14,793867.0
29,1,14,58362.0
30,1,14,2333.0
31,1,14,4396.0
32,1,14,4310.0
33,1,14,1310.0
34,1,14,18166.0
35,1,14,11021.0
36,1,14,44995.0
37,1,14,147826.0
38,1,14,3267.0
39,1,14,97177.0
40,1,14,26658.0
41,1,14,4900.0
42,1,14,27000.0
44,1,14,618.0
45,1,14,112264.0
46,1,14,2599.0
47,1,14,690039.0
48,1,14,182963.0
49,1,14,10259.0
50,1,14,435.0
51,1,14,82024.0
53,1,14,17718.0
54,1,14,12436.0
55,1,14,66540.0
56,1,14,3360.0
2,1,15,7126.0
4,1,15,16825.0
5,1,15,58759.0
6,1,15,82234.0
8,1,15,36308.0
9,1,15,8188.0
10,1,15,1337.0
11,1,15,2238.0
12,1,15,768169.0
13,1,15,974949.0
15,1,15,3669.0
16,1,15,3182.0
17,1,15,80372.0
18,1,15,72611.0
19,1,15,14082.0
20,1,15,16135.0
21,1,15,106154.0
22,1,15,224958.0
23,1,15,2766.0
24,1,15,17976.0
25,1,15,11474.0
26,1,15,50715.0
27,1,15,15868.0
28,1,15,646309.0
29,1,15,63747.0
30,1,15,4882.0
31,1,15,3320.0
32,1,15,5980.0
33,1,15,1141.0
34,1,15,16077.0
35,1,15,10524.0
36,1,15,28700.0
37,1,15,81827.0
38,1,15,5786.0
39,1,15,59641.0
40,1,15,36165.0
41,1,15,4783.0
42,1,15,27121.0
44,1,15,825.0
45,1,15,56907.0
46,1,15,874.0
47,1,15,661420.0
48,1,15,205681.0
49,1,15,9143.0
50,1,15,5836.0
51,1,15,56316.0
53,1,15,18111.0
54,1,15,8813.0
55,1,15,32707.0
56,1,15,2040.0
2,1,16,6664.0
4,1,16,26768.0
5,1,16,66750.0
6,1,16,71102.0
8,1,16,24810.0
9,1,16,7955.0
10,1,16,1718.0
11,1,16,2342.0
12,1,16,857446.0
13,1,16,942800.0
15,1,16,2642.0
16,1,16,4684.0
17,1,16,100621.0
18,1,16,68423.0
19,1,16,18828.0
20,1,16,16710.0
21,1,16,96241.0
22,1,16,226893.0
23,1,16,4536.0
24,1,16,29587.0
25,1,16,16431.0
26,1,16,51534.0
27,1,16,21574.0
28,1,16,655455.0
29,1,16,71247.0
30,1,16,5594.0
31,1,16,8107.0
32,1,16,4994.0
33,1,16,2124.0
34,1,16,15790.0
35,1,16,7218.0
36,1,16,39591.0
37,1,16,98367.0
38,1,16,3451.0
39,1,16,67066.0
40,1,16,35512.0
41,1,16,7402.0
42,1,16,30265.0
44,1,16,1383.0
45,1,16,69213.0
46,1,16,2572.0
47,1,16,656312.0
48,1,16,201265.0
49,1,16,9857.0
50,1,16,940.0
51,1,16,55156.0
53,1,16,16413.0
54,1,16,11679.0
55,1,16,37869.0
56,1,16,3622.0
2,1,17,8540.0
4,1,17,24506.0
5,1,17,83251.0
6,1,17,106786.0
8,1,17,32079.0
9,1,17,10578.0
10,1,17,4699.0
11,1,17,6011.0
12,1,17,877368.0
13,1,17,1084716.0
15,1,17,3784.0
16,1,17,5284.0
17,1,17,131813.0
18,1,17,81538.0
19,1,17,14735.0
20,1,17,16957.0
21,1,17,111348.0
22,1,17,224825.0
23,1,17,3146.0
24,1,17,28930.0
25,1,17,9907.0
26,1,17,60265.0
27,1,17,16235.0
28,1,17,718884.0
29,1,17,86217.0
30,1,17,4314.0
31,1,17,5385.0
32,1,17,6803.0
33,1,17,5128.0
34,1,17,24508.0
35,1,17,6571.0
36,1,17,53371.0
37,1,17,108679.0
38,1,17,5472.0
39,1,17,63629.0
40,1,17,32759.0
41,1,17,5999.0
42,1,17,39296.0
44,1,17,2852.0
45,1,17,68588.0
46,1,17,2660.0
47,1,17,720373.0
48,1,17,246228.0
49,1,17,9554.0
50,1,17,2474.0
51,1,17,59240.0
53,1,17,15730.0
54,1,17,10543.0
55,1,17,31032.0
56,1,17,1965.0
2,1,18,9586.0
4,1,18,21474.0
5,1,18,84929.0
6,1,18,80292.0
8,1,18,34504.0
9,1,18,5550.0
10,1,18,2853.0
11,1,18,6496.0
12,1,18,869599.0
13,1,18,1086500.0
15,1,18,3913.0
16,1,18,4224.0
17,1,18,98874.0
18,1,18,77246.0
19,1,18,17473.0
20,1,18,15138.0
21,1,18,117845.0
22,1,18,241764.0
23,1,18,2044.0
24,1,18,21636.0
25,1,18,9403.0
26,1,18,59083.0
27,1,18,13252.0
28,1,18,773488.0
29,1,18,80477.0
30,1,18,3310.0
31,1,18,4623.0
32,1,18,8198.0
33,1,18,1948.0
34,1,18,14030.0
35,1,18,5484.0
36,1,18,31821.0
37,1,18,105039.0
38,1,18,3232.0
39,1,18,68985.0
40,1,18,30304.0
41,1,18,5024.0
42,1,18,28831.0
44,1,18,1556.0
45,1,18,66466.0
46,1,18,2911.0
47,1,18,723415.0
48,1,18,215691.0
49,1,18,7588.0
50,1,18,1631.0
51,1,18,52289.0
53,1,18,12094.0
54,1,18,10242.0
55,1,18,25264.0
56,1,18,2591.0
2,1,19,9935.0
4,1,19,21826.0
5,1,19,99173.0
6,1,19,81739.0
8,1,19,25237.0
9,1,19,4065.0
10,1,19,3016.0
11,1,19,5131.0
12,1,19,814028.0
13,1,19,1039753.0
15,1,19,3019.0
16,1,19,5388.0
17,1,19,110580.0
18,1,19,90458.0
19,1,19,17383.0
20,1,19,19125.0
21,1,19,143458.0
22,1,19,291906.0
23,1,19,1874.0
24,1,19,23279.0
25,1,19,13298.0
26,1,19,56131.0
27,1,19,12989.0
28,1,19,770387.0
29,1,19,87680.0
30,1,19,2363.0
31,1,19,7176.0
32,1,19,7013.0
33,1,19,842.0
34,1,19,10518.0
35,1,19,7308.0
36,1,19,36161.0
37,1,19,99878.0
38,1,19,2214.0
39,1,19,67066.0
40,1,19,43229.0
41,1,19,3799.0
42,1,19,32683.0
44,1,19,1226.0
45,1,19,69009.0
46,1,19,2412.0
47,1,19,740203.0
48,1,19,233331.0
49,1,19,8993.0
50,1,19,2551.0
51,1,19,59493.0
53,1,19,16088.0
54,1,19,17215.0
55,1,19,27308.0
56,1,19,6346.0
2,1,20,8324.0
4,1,20,22754.0
5,1,20,126384.0
6,1,20,79733.0
8,1,20,35070.0
9,1,20,9504.0
10,1,20,3245.0
11,1,20,3214.0
12,1,20,862273.0
13,1,20,1130939.0
15,1,20,5216.0
16,1,20,3614.0
17,1,20,132872.0
18,1,20,90042.0
19,1,20,17916.0
20,1,20,23908.0
21,1,20,186932.0
22,1,20,396311.0
23,1,20,2594.0
24,1,20,22855.0
25,1,20,8651.0
26,1,20,45524.0
27,1,20,13350.0
28,1,20,928987.0
29,1,20,157385.0
30,1,20,3031.0
31,1,20,9639.0
32,1,20,9680.0
33,1,20,2090.0
34,1,20,15190.0
35,1,20,10945.0
36,1,20,44198.0
37,1,20,103526.0
38,1,20,2536.0
39,1,20,82650.0
40,1,20,89060.0
41,1,20,4306.0
42,1,20,33004.0
44,1,20,632.0
45,1,20,69737.0
46,1,20,3052.0
47,1,20,924602.0
48,1,20,254280.0
49,1,20,8956.0
50,1,20,1846.0
51,1,20,79306.0
53,1,20,18637.0
54,1,20,17800.0
55,1,20,23443.0
56,1,20,4580.0
2,1,21,7669.0
4,1,21,28447.0
5,1,21,182276.0
6,1,21,105194.0
8,1,21,32163.0
9,1,21,6355.0
10,1,21,6921.0
11,1,21,4723.0
12,1,21,943550.0
13,1,21,1360656.0
15,1,21,4494.0
16,1,21,5186.0
17,1,21,187789.0
18,1,21,131759.0
19,1,21,21167.0
20,1,21,57218.0
21,1,21,205020.0
22,1,21,595384.0
23,1,21,1497.0
24,1,21,27280.0
25,1,21,21163.0
26,1,21,56986.0
27,1,21,16852.0
28,1,21,1220612.0
29,1,21,223516.0
30,1,21,2857.0
31,1,21,21929.0
32,1,21,13662.0
33,1,21,1633.0
34,1,21,16048.0
35,1,21,12539.0
36,1,21,52929.0
37,1,21,127795.0
38,1,21,2589.0
39,1,21,103838.0
40,1,21,108529.0
41,1,21,7729.0
42,1,21,37383.0
44,1,21,2144.0
45,1,21,80816.0
46,1,21,6247.0
47,1,21,1169756.0
48,1,21,368036.0
49,1,21,9149.0
50,1,21,1784.0
51,1,21,88386.0
53,1,21,19162.0
54,1,21,13100.0
55,1,21,20626.0
56,1,21,3359.0
2,1,22,11959.0
4,1,22,29990.0
5,1,22,204452.0
6,1,22,88635.0
8,1,22,36579.0
9,1,22,5920.0
10,1,22,2668.0
11,1,22,3186.0
12,1,22,924543.0
13,1,22,1492937.0
15,1,22,7997.0
16,1,22,3487.0
17,1,22,230237.0
18,1,22,170519.0
19,1,22,23010.0
20,1,22,53746.0
21,1,22,247000.0
22,1,22,608898.0
23,1,22,2521.0
24,1,22,17701.0
25,1,22,12527.0
26,1,22,37539.0
27,1,22,10727.0
28,1,22,1114104.0
29,1,22,245752.0
30,1,22,2765.0
31,1,22,14712.0
32,1,22,10362.0
33,1,22,2993.0
34,1,22,14034.0
35,1,22,12285.0
36,1,22,36891.0
37,1,22,128871.0
38,1,22,2898.0
39,1,22,159621.0
40,1,22,98961.0
41,1,22,6945.0
42,1,22,37742.0
44,1,22,1652.0
45,1,22,78554.0
46,1,22,4755.0
47,1,22,1086943.0
48,1,22,480421.0
49,1,22,11610.0
50,1,22,1055.0
51,1,22,77701.0
53,1,22,14581.0
54,1,22,15074.0
55,1,22,18642.0
56,1,22,2294.0
2,1,23,8020.0
4,1,23,29914.0
5,1,23,238338.0
6,1,23,104469.0
8,1,23,44558.0
9,1,23,4186.0
10,1,23,2830.0
11,1,23,4897.0
12,1,23,1026033.0
13,1,23,1360480.0
15,1,23,7637.0
16,1,23,3274.0
17,1,23,255881.0
18,1,23,203164.0
19,1,23,28825.0
20,1,23,46574.0
21,1,23,297913.0
22,1,23,553400.0
23,1,23,3644.0
24,1,23,19163.0
25,1,23,12896.0
26,1,23,48388.0
27,1,23,13165.0
28,1,23,1012280.0
29,1,23,256605.0
30,1,23,4988.0
31,1,23,15109.0
32,1,23,10096.0
33,1,23,1545.0
34,1,23,14393.0
35,1,23,12009.0
36,1,23,40496.0
37,1,23,147307.0
38,1,23,3428.0
39,1,23,202131.0
40,1,23,106915.0
41,1,23,5426.0
42,1,23,40165.0
44,1,23,2993.0
45,1,23,93903.0
46,1,23,2315.0
47,1,23,1140701.0
48,1,23,590576.0
49,1,23,10782.0
50,1,23,825.0
51,1,23,70207.0
53,1,23,19251.0
54,1,23,18114.0
55,1,23,33134.0
56,1,23,4768.0
2,1,24,9243.0
4,1,24,29311.0
5,1,24,234014.0
6,1,24,121850.0
8,1,24,35968.0
9,1,24,8064.0
10,1,24,4424.0
11,1,24,2870.0
12,1,24,1062618.0
13,1,24,1411724.0
15,1,24,12658.0
16,1,24,2546.0
17,1,24,256354.0
18,1,24,188543.0
19,1,24,33779.0
20,1,24,44279.0
21,1,24,350866.0
22,1,24,531464.0
23,1,24,5184.0
24,1,24,37278.0
25,1,24,15271.0
26,1,24,57400.0
27,1,24,15912.0
28,1,24,1017868.0
29,1,24,215950.0
30,1,24,6367.0
31,1,24,7928.0
32,1,24,15786.0
33,1,24,2764.0
34,1,24,18507.0
35,1,24,8591.0
36,1,24,39797.0
37,1,24,141588.0
38,1,24,4001.0
39,1,24,217135.0
40,1,24,103747.0
41,1,24,8392.0
42,1,24,48586.0
44,1,24,1268.0
45,1,24,92639.0
46,1,24,2222.0
47,1,24,1113930.0
48,1,24,611726.0
49,1,24,16365.0
50,1,24,1134.0
51,1,24,80228.0
53,1,24,17028.0
54,1,24,22307.0
55,1,24,37780.0
56,1,24,5636.0
2,1,25,9425.0
4,1,25,41771.0
5,1,25,277104.0
6,1,25,131011.0
8,1,25,46875.0
9,1,25,9631.0
10,1,25,6305.0
11,1,25,6725.0
12,1,25,1158971.0
13,1,25,1506624.0
15,1,25,7474.0
16,1,25,4989.0
17,1,25,259867.0
18,1,25,234066.0
19,1,25,25195.0
20,1,25,51974.0
21,1,25,413436.0
22,1,25,562271.0
23,1,25,6077.0
24,1,25,38390.0
