FIPS,Week,Confirmed,Deaths,Incident_Rate,New_Cases,New_Deaths,Susceptible
10,31,783816,12833,11499.060787389377,6387,678,555.4366672280229
10,32,793702,12854,11644.094462313253,9886,21,849.0140673451747
10,33,807603,12921,11848.030646322635,13901,67,1173.2751555900609
10,34,824141,13058,12090.653235427537,16538,137,1367.8334559741595
10,35,842632,13188,12361.927530695322,18491,130,1495.8023297002726
10,36,861996,13267,12646.009270653434,19364,79,1531.2340506452467
10,37,884131,13359,12970.743277778658,22135,92,1706.532889130683
10,38,906501,13522,13298.924878835413,22370,163,1682.0908610139425
10,39,928621,13667,13623.438826773516,22120,145,1623.672281372056
10,40,950701,13867,13947.365950212636,22080,200,1583.0946200750814
10,41,970316,14062,14235.130013901871,19615,195,1377.9291078370347
10,42,987029,14296,14480.319960189823,16713,234,1154.1872034560283
10,43,1001424,14518,14691.50342676166,14395,222,979.818033719983
10,44,1013821,14708,14873.375009609252,12397,190,833.5028190972567
10,45,1026299,14878,15056.434912067283,12478,170,828.7486428808759
10,46,1041699,15035,15282.362344176088,15400,157,1007.6976093862047
10,47,1059277,15163,15540.24237025457,17578,128,1131.1277894639459
10,48,1078010,15273,15815.066953741212,18733,110,1184.5033634567396
10,49,1105957,15436,16225.0665605688,27947,163,1722.4582651585908
10,50,1138144,15598,16697.269564288676,32187,162,1927.6804435642593
10,51,1176429,15779,17258.933962878655,38285,181,2218.2714229248004
11,1,213630,5628,4324.281214507059,8903,181,2058.839274867762
11,2,228304,5825,4621.311137933903,14674,197,3175.2893414920454
11,3,241140,6032,4881.136413735114,12836,207,2629.7154826242017
11,4,251579,6252,5092.44180903652,10439,220,2049.9006942948336
11,5,260963,6490,5282.391979503843,9384,238,1776.4679403593611
11,6,268799,6762,5441.0076589349965,7836,272,1440.174410916707
11,7,274545,6905,5557.317727083465,5746,143,1033.9520398477482
11,8,280074,7013,5669.235298749475,5529,108,975.2638069581609
11,9,286276,7159,5794.7756820868935,6202,146,1070.2743885620869
11,10,293756,7254,5946.185238256498,7480,95,1257.9493743106525
11,11,299776,7311,6068.0415922860475,6020,57,992.0828505283945
11,12,305240,7368,6178.643439199245,5464,57,884.3365139562312
11,13,311744,7445,6310.296882157417,6504,77,1030.6963557277766
11,14,317605,7529,6428.9347710223965,5861,84,911.659584169015
11,15,323301,7616,6544.232743207166,5696,87,870.3846919124902
11,16,328612,7682,6651.737576471441,5311,66,798.4379929217436
11,17,332713,7717,6734.749687414161,4101,35,608.9313174718151
11,18,336110,7757,6803.511487187979,3397,40,499.3009869090476
11,19,338351,7797,6848.873628281038,2241,40,327.2070885855222
11,20,340463,7863,6891.62456178775,2112,66,306.4589460822468
11,21,341775,7914,6918.181959875254,1312,51,189.64519979518687
11,22,342984,7941,6942.654440277533,1209,27,174.140886659436
11,23,343912,7958,6961.438941363815,928,17,133.30577310474774
11,24,344533,7975,6974.0091732329765,621,17,89.04490725126476
11,25,344971,7987,6982.8751338749935,438,12,62.72487930869551
11,26,345458,7987,6992.732948561437,487,0,69.64372922323408
11,27,345940,7996,7002.4895536515105,482,9,68.83266248482396
11,28,347010,8013,7024.1484072747035,1070,17,152.33163338232328
11,29,349006,8022,7064.551278145629,1996,9,282.5374070359822
11,30,351754,8035,7120.176072310613,2748,13,385.94551203397833
11,31,355955,8043,7205.212375180735,4201,8,583.0501283308283
11,32,362541,8046,7338.525655519375,6586,3,897.4554711880862
11,33,370691,8069,7503.497297602567,8150,23,1086.1601832793351
11,34,378905,8096,7669.764422519297,8214,27,1070.9585780604637
11,35,388364,8124,7861.232736932171,9459,28,1203.246401236984
11,36,395890,8144,8013.573421388382,7526,20,939.1565540427896
11,37,407674,8165,8252.104198113331,11784,21,1427.9994189474924
11,38,418403,8195,8469.279750004202,10729,30,1266.813745288633
11,39,426686,8220,8636.943567350838,8283,25,959.0198124381862
11,40,434029,8258,8785.579980579902,7343,38,835.801394584233
11,41,439660,8278,8899.56222801186,5631,20,632.7277517399809
11,42,443676,8295,8980.853775816291,4016,17,447.1735204969392
11,43,447964,8314,9067.651125663251,4288,19,472.8898300756311
11,44,452159,8346,9152.56597701773,4195,32,458.3414105436362
11,45,456003,8353,9230.37591470703,3844,7,416.45107799729385
11,46,460439,8367,9320.169068606545,4436,14,475.9570311811119
11,47,464848,8372,9409.41569068566,4409,5,468.5731978410147
11,48,469359,8375,9500.726988530729,4511,3,474.8057707000397
11,49,477688,8383,9669.321934163969,8329,8,861.384082225218
11,50,489624,8420,9910.929482618569,11936,37,1204.327002924693
11,51,534931,8447,10828.030119166202,45307,27,4184.232912300839
12,1,9887828,156533,6576.795577405837,424380,7462,64526.86494589105
12,2,10625995,164022,7067.780398439025,738167,7489,104441.13404584982
12,3,11222069,172339,7464.253400093848,596074,8317,79857.1495432491
12,4,11751305,180894,7816.269736159155,529236,8555,67709.53637278923
12,5,12218305,189308,8126.89038354992,467000,8414,57463.55345770137
12,6,12593890,197397,8376.707205499084,375585,8089,44836.83036616566
12,7,12910151,205157,8587.065228121033,316261,7760,36829.92868905949
12,8,13200095,212360,8779.918746294627,289944,7203,33023.54023747253
12,9,13469692,218782,8959.238649238114,269597,6422,30091.507833974967
12,10,13707246,223694,9117.245452814695,237554,4912,26055.457345031973
12,11,13927627,227518,9263.829797338518,220381,3824,23789.40511874636
12,12,14157399,230406,9416.660476979354,229772,2888,24400.58241047526
12,13,14414132,233920,9587.424011597284,256733,3514,26778.100112130927
12,14,14689947,236874,9770.879758621017,275815,2954,28228.266728658047
12,15,14992938,239333,9972.411365844948,302991,2459,30382.92233288032
12,16,15296629,242326,10174.408571469676,303691,2993,29848.516291314252
12,17,15561262,245232,10350.426716610918,264633,2906,25567.35168950115
12,18,15779701,248336,10495.719358142806,218439,3104,20812.199006686504
12,19,15954160,251212,10611.75911729301,174459,2876,16440.158325465585
12,20,16097980,253957,10707.419634440204,143820,2745,13431.8075605635
12,21,16212349,256484,10783.491096584605,114369,2527,10605.934476657885
12,22,16288981,258284,10834.46214894188,76632,1800,7072.986083345546
12,23,16352977,259455,10877.02848502415,63996,1171,5883.592204259812
12,24,16430437,261435,10928.550273775518,77460,1980,7087.856857453031
12,25,16503008,263319,10976.820190267585,72571,1884,6611.29532433663
12,26,16589616,264830,11034.426684976834,86608,1511,7848.8898854994595
12,27,16715530,266239,11118.177195031563,125914,1409,11325.057857169953
12,28,16925163,267561,11257.612608681393,209633,1322,18621.44375427699
12,29,17298740,269280,11506.093828360832,373577,1719,32467.751921089635
12,30,17886018,271508,11896.71625353932,587278,2228,49364.714387071515
12,31,18709140,274785,12444.208091915298,823122,3277,66144.98840908668
12,32,19795810,281788,13166.996397911276,1086670,7003,82529.83194955396
12,33,20924706,290598,13917.870929724644,1128896,8810,81111.25657797248
12,34,21986714,302011,14624.255538919871,1062008,11413,72619.62820422916
12,35,22971178,316221,15279.062487555637,984464,14210,64432.22552442717
12,36,23745230,332415,15793.91587803554,774052,16194,49009.505051022046
12,37,24354172,349825,16198.947908578211,608942,17410,37591.45368184884
12,38,24810423,367170,16502.418959954408,456251,17345,27647.522530312763
12,39,25154247,381388,16731.11025217814,343824,14218,20549.981132019573
12,40,25391110,391906,16888.657443619075,236863,10518,14024.975092942768
12,41,25554644,401366,16997.43054201394,163534,9460,9621.101236200357
12,42,25677807,408501,17079.35125035353,123163,7135,7211.222381614209
12,43,25774929,414437,17143.95103304279,97122,5936,5665.088509224604
12,44,25856680,419018,17198.32693999106,81751,4581,4753.427486594955
12,45,25929774,423401,17246.944725002584,73094,4383,4238.083971709896
12,46,26001066,426243,17294.36392670233,71292,2842,4122.267826799101
12,47,26050521,427963,17327.258453718845,49455,1720,2854.173389985175
12,48,26116307,430813,17371.015391426015,65786,2850,3787.113102926076
12,49,26213374,433127,17435.578591383786,97067,2314,5567.179746358863
12,50,26335976,434877,17517.126155862163,122602,1750,6998.979108166715
12,51,26796336,436053,17823.330269851056,460360,1176,25829.067465507225
13,1,5016365,78173,6749.505708010046,242445,5355,35920.40817333866
13,2,5479641,82802,7372.842328527903,463276,4629,62835.46824369699
13,3,5862307,89201,7887.71840936759,382666,6399,48514.155822999375
13,4,6200895,95687,8343.28765894646,338588,6486,40582.08392670412
13,5,6460112,102181,8692.063440037597,259217,6494,29822.262778937886
13,6,6659886,108015,8960.858823410217,199774,5834,22294.068452243777
13,7,6815383,114001,9170.07962155358,155497,5986,16956.995622427974
13,8,6959825,119282,9364.425946726567,144442,5281,15424.543994657912
13,9,7100245,123246,9553.36068164294,140420,3964,14698.49246556985
13,10,7198368,126365,9685.384916041166,98123,3119,10131.037728555975
13,11,7270973,128537,9783.074749601938,72605,2172,7421.490876674965
13,12,7348457,130860,9887.329264630142,77484,2323,7836.696637299503
13,13,7416174,133435,9978.442307247518,67717,2575,6786.329761190877
